Altium Designer Pick and Place Locations
C:\Users\tcha\Desktop\ALPS-HPG\XPL-HPG-HW\XPLR-HPG-1\Pick Place\Pick Place for ALPS-HPG(C213_noJTAG).txt

========================================================================================================================
File Design Information:

Date:       14/02/23
Time:       14:52
Revision:   79541b5d039af1aaa745de6e03f4d4a23af433f7
Variant:    C213_noJTAG
Units used: mm

Designator Layer    Center-X(mm) Center-Y(mm) Rotation Variation    Footprint                       
MB_2       TopLayer -11.4300     48.2600      0        Fitted       MIKROBUS_-_LARGE                
MB_3       TopLayer 16.5100      48.2600      0        Fitted       MIKROBUS_-_LARGE                
NT1        TopLayer -8.5000      16.8000      0        Fitted       Cap_0603_HD                     
Q1         TopLayer 26.6000      88.4000      90       Fitted       SOT-563                         
Q3         TopLayer 28.6000      88.4000      270      Fitted       SOT-563                         
Q4         TopLayer 16.0000      76.5000      0        Fitted       ONSC-SOT-363-6-419B-02_W_V      
Q2A        TopLayer -51.7250     18.9000      0        Fitted       FP-568AL-MFG                    
Q2B        TopLayer -52.8000     9.6000       0        "Not Fitted" SOTFL65P280X95-8N               
R1         TopLayer 26.5000      86.9000      180      Fitted       RES_0402_HD                     
R2         TopLayer 49.4000      61.4000      180      "Not Fitted" RES_0402_HD                     
R3         TopLayer -6.4000      16.8000      0        Fitted       RES_0402_HD                     
R4         TopLayer 42.9000      28.7000      270      Fitted       RES_0402_HD                     
R7         TopLayer 28.8000      86.9000      0        Fitted       RES_0402_HD                     
R8         TopLayer 29.8000      89.9750      180      Fitted       RES_0402_HD                     
R9         TopLayer 30.3000      88.5000      270      Fitted       RES_0402_HD                     
R10        TopLayer 28.1000      89.9750      180      Fitted       RES_0402_HD                     
R11        TopLayer 26.4000      89.9750      0        Fitted       RES_0402_HD                     
R12        TopLayer 57.8000      84.3000      0        "Not Fitted" RES_0402_HD                     
R13        TopLayer 57.8000      83.1000      0        "Not Fitted" RES_0402_HD                     
R14        TopLayer 41.5000      28.7000      270      Fitted       RES_0402_HD                     
R15        TopLayer 51.1000      30.9750      90       "Not Fitted" RES_0402_HD                     
R16        TopLayer 57.8000      81.8000      0        "Not Fitted" RES_0402_HD                     
R17        TopLayer 50.0750      30.9750      90       Fitted       RES_0402_HD                     
R18        TopLayer 57.8000      80.5000      0        "Not Fitted" RES_0402_HD                     
R19        TopLayer 49.1050      31.0000      90       Fitted       RES_0402_HD                     
R20        TopLayer 48.1000      31.0000      90       "Not Fitted" RES_0402_HD                     
R21        TopLayer 47.1300      31.0000      90       Fitted       RES_0402_HD                     
R22        TopLayer -23.3000     80.4000      0        Fitted       RES_0603_HD                     
R23        TopLayer -23.3000     81.6000      0        Fitted       RES_0603_HD                     
R24        TopLayer 58.6550      20.3200      0        Fitted       RES_0402_HD                     
R25        TopLayer 60.5600      20.3200      180      Fitted       RES_0402_HD                     
R26        TopLayer 58.6550      15.2400      0        Fitted       RES_0402_HD                     
